         2310514 function calls (2180215 primitive calls) in 42.133 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.000    0.000    0.001    0.000 interpreter.py:856(op_BUILD_TUPLE)
        9    0.000    0.000   42.059    4.673 tesseroid.py:291(_dispatcher)
       29    0.000    0.000    0.001    0.000 instructions.py:351(descr)
      204    0.000    0.000    0.000    0.000 instructions.py:121(return_value)
       12    0.000    0.000    0.005    0.000 rangeobj.py:28(range1_impl)
       24    0.000    0.000    0.011    0.000 base.py:512(<genexpr>)
       24    0.000    0.000    0.007    0.000 base.py:492(<genexpr>)
       44    0.000    0.000    0.000    0.000 ir.py:222(getitem)
       64    0.000    0.000    0.000    0.000 utils.py:215(bit_length)
        8    0.000    0.000    0.001    0.000 codegen.py:37(__init__)
      168    0.000    0.000    0.000    0.000 bytecode.py:203(block_effect)
       63    0.000    0.000    0.003    0.000 cgutils.py:226(__getitem__)
      196    0.000    0.000    0.000    0.000 values.py:42(__str__)
       29    0.000    0.000    0.000    0.000 interpreter.py:990(op_JUMP_ABSOLUTE)
       83    0.000    0.000    0.001    0.000 typeinfer.py:547(resolve_value_type)
       83    0.000    0.000    0.003    0.000 objmode.py:474(is_null)
       88    0.000    0.000    0.005    0.000 callwrapper.py:181(make_const_string)
        1    0.000    0.000    0.000    0.000 looplifting.py:271(discover_args_and_returns)
        8    0.000    0.000    0.006    0.001 argpacker.py:44(from_arguments)
        1    0.000    0.000   42.134   42.134 <string>:2(<module>)
        8    0.000    0.000    0.000    0.000 funcdesc.py:49(__init__)
      133    0.000    0.000    0.000    0.000 ir.py:570(__init__)
      114    0.000    0.000    0.000    0.000 _abcoll.py:386(__contains__)
      170    0.000    0.000    0.000    0.000 ir.py:596(is_terminated)
       12    0.000    0.000    0.025    0.002 rangeobj.py:67(getiter_range32_impl)
      122    0.000    0.000    0.000    0.000 {method 'write' of 'cStringIO.StringO' objects}
       49    0.000    0.000    0.004    0.000 pythonapi.py:836(c_api_error)
        9    0.000    0.000    0.002    0.000 bytecode.py:267(__init__)
        8    0.000    0.000    0.000    0.000 executionengine.py:83(add_module)
      100    0.000    0.000    0.000    0.000 instructions.py:359(add_incoming)
        2    0.000    0.000    0.000    0.000 linecache.py:72(updatecache)
       43    0.000    0.000    0.000    0.000 numpy_support.py:161(supported_ufunc_loop)
       32    0.000    0.000    0.001    0.000 npydecl.py:162(<lambda>)
       21    0.000    0.000    0.016    0.001 arrayobj.py:160(getitem_arraynd_intp)
       72    0.000    0.000    0.000    0.000 instructions.py:148(add_case)
        7    0.000    0.000    0.000    0.000 base.py:197(insert_user_function)
        9    0.000    0.000    0.000    0.000 typeinfer.py:336(__init__)
       16    0.000    0.000    0.000    0.000 utils.py:332(si2mgal)
       22    0.000    0.000    0.000    0.000 interpreter.py:848(op_STORE_SUBSCR)
       29    0.000    0.000    0.001    0.000 builder.py:388(phi)
       16    0.000    0.000    0.248    0.016 codegen.py:223(get_pointer_to_function)
        7    0.000    0.000    1.126    0.161 compiler.py:443(backend_nopython_mode)
        5    0.000    0.000    0.015    0.003 imputils.py:70(imp)
       97    0.000    0.000    0.000    0.000 ir.py:404(__init__)
        7    0.000    0.000    0.001    0.000 copy.py:306(_reconstruct)
        7    0.000    0.000    0.014    0.002 compiler.py:71(get_function_attributes)
       16    0.000    0.000    0.035    0.002 codegen.py:132(add_llvm_module)
       87    0.000    0.000    0.006    0.000 context.py:101(resolve_setitem)
       16    0.000    0.000    0.001    0.000 interface.py:130(__new__)
    22/11    0.000    0.000    0.001    0.000 pickle.py:538(save_tuple)
      448    0.000    0.000    0.000    0.000 types.py:922(key)
       64    0.000    0.000    0.001    0.000 builtins.py:508(real_mul_impl)
        8    0.000    0.000    0.010    0.001 misfit.py:224(hessian)
        8    0.000    0.000    0.000    0.000 regularization.py:290(gradient)
       16    0.000    0.000    0.001    0.000 cgutils.py:749(pointer_add)
        9    0.000    0.000    0.005    0.001 cgutils.py:680(guard_null)
        8    0.000    0.000    0.015    0.002 base.py:494(hessian)
       14    0.000    0.000    0.001    0.000 pickle.py:1378(dumps)
        8    0.000    0.000    0.007    0.001 base.py:474(gradient)
        7    0.000    0.000    0.000    0.000 inspect.py:744(getargs)
       28    0.000    0.000    0.012    0.000 arrayobj.py:127(_getitem_array1d)
       21    0.000    0.000    0.000    0.000 callconv.py:89(get_return_type)
        9    0.000    0.000    0.002    0.000 regularization.py:311(value)
       19    0.000    0.000    0.000    0.000 interpreter.py:788(op_SETUP_LOOP)
       70    0.000    0.000    0.000    0.000 typeinfer.py:572(sentry_modified_builtin)
        9    0.000    0.000    0.000    0.000 compiler.py:219(__init__)
        8    0.000    0.000    0.002    0.000 cpu.py:72(get_env_from_closure)
       33    0.000    0.000    0.003    0.000 typeinfer.py:496(get_state_token)
       28    0.000    0.000    0.001    0.000 base.py:304(unpack_value)
      107    0.000    0.000    0.000    0.000 ir.py:382(__init__)
        4    0.000    0.000    0.000    0.000 copy.py:234(_deepcopy_tuple)
       61    0.000    0.000    0.000    0.000 utils.py:79(__getattr__)
       15    0.000    0.000    0.000    0.000 interpreter.py:1016(_op_JUMP_IF)
       59    0.000    0.000    0.000    0.000 sputils.py:182(isscalarlike)
       11    0.000    0.000    0.167    0.015 compiler.py:321(stage_analyze_bytecode)
        7    0.000    0.000    0.000    0.000 sre_compile.py:256(_optimize_charset)
        8    0.000    0.000    0.000    0.000 _abcoll.py:412(items)
      978    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
        7    0.000    0.000    0.026    0.004 compiler.py:279(extract_bytecode)
        8    0.000    0.000    0.015    0.002 lowering.py:168(setup_function)
       54    0.000    0.000    0.000    0.000 utils.py:120(__iter__)
       24    0.000    0.000    0.000    0.000 shape_base.py:60(atleast_2d)
       32    0.000    0.000    0.001    0.000 interface.py:145(__init__)
      562    0.000    0.000    0.000    0.000 {id}
       22    0.000    0.000    0.000    0.000 ir.py:499(__init__)
       21    0.000    0.000    0.011    0.001 module.py:129(link_in)
        9    0.000    0.000    0.000    0.000 cgutils.py:624(is_scalar_zero)
    22/20    0.000    0.000    0.001    0.000 types.py:790(copy)
        1    0.000    0.000    0.003    0.003 looplifting.py:113(insert_loop_call)
       83    0.000    0.000    0.002    0.000 callconv.py:83(return_exc)
       80    0.000    0.000    0.002    0.000 pythonapi.py:752(alloca_obj)
      240    0.000    0.000    0.000    0.000 csc.py:195(_swap)
      159    0.000    0.000    0.000    0.000 values.py:322(__init__)
       11    0.000    0.000    0.000    0.000 interpreter.py:1001(op_RETURN_VALUE)
       14    0.000    0.000    0.002    0.000 npyimpl.py:300(generate)
       15    0.000    0.000    0.000    0.000 builder.py:209(fcmp_ordered)
       70    0.000    0.000    0.000    0.000 models.py:105(get_value_type)
      101    0.000    0.000    0.000    0.000 sputils.py:106(getdtype)
       21    0.000    0.000    0.000    0.000 types.py:204(_format_float_as_hex)
       17    0.000    0.000    0.001    0.000 objmode.py:577(_freeze_string)
       80    0.000    0.000    0.000    0.000 pythonapi.py:22(__init__)
       32    0.000    0.000    0.000    0.000 dataflow.py:594(make_incoming)
       16    0.000    0.000    0.003    0.000 compressed.py:339(__add__)
       70    0.000    0.000    0.002    0.000 base.py:884(make_pair)
       12    0.000    0.000    0.000    0.000 typeinfer.py:155(__call__)
        8    0.000    0.000    0.000    0.000 data.py:45(__imul__)
       17    0.000    0.000    0.001    0.000 base.py:453(get_attribute)
       31    0.000    0.000    0.001    0.000 builder.py:182(not_)
       16    0.000    0.000    0.000    0.000 transforms.py:18(opt_level)
        8    0.000    0.000    0.001    0.000 pythonapi.py:80(parse_tuple_and_keywords)
       23    0.000    0.000    0.001    0.000 values.py:231(descr)
       16    0.000    0.000    0.000    0.000 interface.py:590(__init__)
       24    0.000    0.000    0.000    0.000 core.py:153(new)
        7    0.000    0.000    0.000    0.000 imputils.py:65(user_function)
       88    0.000    0.000    0.000    0.000 funcdesc.py:27(<genexpr>)
       16    0.000    0.000    0.000    0.000 dataflow.py:249(op_FOR_ITER)
       15    0.000    0.000    0.000    0.000 core.py:220(fcmp)
        8    0.000    0.000    0.000    0.000 funcdesc.py:103(_get_function_info)
       18    0.000    0.000    0.001    0.000 base.py:298(pack_value)
       11    0.000    0.000    0.000    0.000 controlflow.py:282(_find_exit_points)
       92    0.000    0.000    0.000    0.000 builtins.py:379(generic)
        9    0.000    0.000    0.000    0.000 compiler.py:587(legalize_given_types)
      124    0.000    0.000    0.000    0.000 types.py:926(__iter__)
        1    0.000    0.000    0.005    0.005 looplifting.py:8(lift_loop)
        8    0.000    0.000    0.000    0.000 compiler.py:405(stage_annotate_type)
        9    0.000    0.000   42.064    4.674 base.py:454(value)
       25    0.000    0.000    0.000    0.000 compressed.py:115(_set_self)
       73    0.000    0.000    0.001    0.000 arrayobj.py:23(make_array)
       69    0.000    0.000    0.002    0.000 interpreter.py:918(op_BINARY_MULTIPLY)
       23    0.000    0.000    0.000    0.000 utils.py:155(acquire)
      141    0.000    0.000    0.000    0.000 interpreter.py:451(code_names)
       23    0.000    0.000    0.000    0.000 utils.py:162(release)
       24    0.000    0.000    0.002    0.000 imputils.py:160(set_valid)
       25    0.000    0.000    0.000    0.000 compressed.py:988(__set_has_canonical_format)
        8    0.000    0.000    0.000    0.000 compressed.py:521(diagonal)
       29    0.000    0.000    0.000    0.000 dataflow.py:492(op_JUMP_ABSOLUTE)
       50    0.000    0.000    0.001    0.000 {method 'max' of 'numpy.ndarray' objects}
       17    0.000    0.000    0.000    0.000 values.py:57(inttoptr)
       20    0.000    0.000    0.003    0.000 pythonapi.py:764(if_object_ok)
        8    0.000    0.000    0.000    0.000 copy.py:226(_deepcopy_list)
       16    0.000    0.000    0.000    0.000 transforms.py:84(_dispose)
       28    0.000    0.000    0.000    0.000 npyimpl.py:245(cast)
       21    0.000    0.000    0.000    0.000 module.py:191(_dispose)
        8    0.000    0.000    1.019    0.127 lowering.py:74(lower)
        1    0.000    0.000    0.415    0.415 compiler.py:336(frontend_looplift)
       50    0.000    0.000    0.000    0.000 {method 'min' of 'numpy.ndarray' objects}
       19    0.000    0.000    0.000    0.000 dataflow.py:515(op_SETUP_LOOP)
        7    0.000    0.000    0.013    0.002 inspect.py:682(getsourcelines)
        8    0.000    0.000    0.021    0.003 iterative.py:78(non_reentrant)
      107    0.000    0.000    0.000    0.000 typeinfer.py:448(<genexpr>)
       24    0.000    0.000    0.000    0.000 ffi.py:75(__str__)
      6/3    0.000    0.000    0.001    0.000 types.py:780(post_init)
       16    0.000    0.000    0.000    0.000 transforms.py:7(create_pass_manager_builder)
        7    0.000    0.000    0.000    0.000 options.py:30(set_flags)
       50    0.000    0.000    0.000    0.000 common.py:7(_encode_string)
      186    0.000    0.000    0.000    0.000 instructions.py:173(cond)
       23    0.000    0.000    0.000    0.000 values.py:222(__init__)
      307    0.000    0.000    0.000    0.000 models.py:151(as_argument)
       85    0.000    0.000    0.000    0.000 builder.py:69(function)
        8    0.000    0.000    0.002    0.000 pythonapi.py:798(unserialize)
      144    0.000    0.000    0.000    0.000 controlflow.py:539(<genexpr>)
       49    0.000    0.000    0.003    0.000 base.py:201(asformat)
       19    0.000    0.000    0.000    0.000 dataflow.py:101(pop_syntax_block)
       43    0.000    0.000    0.000    0.000 numpy_support.py:212(numpy_outputs)
       11    0.000    0.000    0.000    0.000 controlflow.py:61(__init__)
       64    0.000    0.000    0.000    0.000 templates.py:182(__init__)
       26    0.000    0.000    0.003    0.000 __init__.py:776(bind)
        7    0.000    0.000    0.001    0.000 builtins.py:145(int_spower_impl)
       10    0.000    0.000    0.001    0.000 pythonapi.py:506(tuple_setitem)
       89    0.000    0.000    0.000    0.000 compiler.py:583(_is_nopython_types)
        3    0.000    0.000    0.000    0.000 castgraph.py:130(insert_rule)
       16    0.000    0.000    0.000    0.000 interpreter.py:814(op_GET_ITER)
        8    0.000    0.000    0.000    0.000 types.py:929(coerce)
       14    0.000    0.000    0.010    0.001 npyimpl.py:320(unary_scalar_ufunc)
       69    0.000    0.000    0.000    0.000 base.py:68(regul_param)
      155    0.000    0.000    0.000    0.000 csr.py:211(_swap)
       88    0.000    0.000    0.000    0.000 ir.py:337(__init__)
        3    0.000    0.000    0.005    0.002 pythonapi.py:1138(from_native_tuple)
       22    0.000    0.000    0.000    0.000 dataflow.py:237(op_STORE_SUBSCR)
       64    0.000    0.000    0.000    0.000 sre_parse.py:212(get)
       44    0.000    0.000    0.000    0.000 values.py:307(add)
       16    0.000    0.000    0.000    0.000 transforms.py:58(loop_vectorize)
        9    0.000    0.000    0.000    0.000 _abcoll.py:408(keys)
       20    0.000    0.000    0.001    0.000 base.py:385(get_constant_undef)
       16    0.000    0.000    0.000    0.000 transforms.py:34(inlining_threshold)
      144    0.000    0.000    0.000    0.000 controlflow.py:437(<genexpr>)
      2/1    0.000    0.000    0.415    0.415 compiler.py:370(stage_objectmode_frontend)
        1    0.000    0.000    0.390    0.390 compiler.py:723(py_lowering_stage)
      135    0.000    0.000    0.000    0.000 {_ctypes.byref}
       31    0.000    0.000    0.001    0.000 objmode.py:561(incref)
       29    0.000    0.000    0.000    0.000 controlflow.py:623(op_JUMP_ABSOLUTE)
        1    0.000    0.000   42.119   42.119 base.py:203(fit)
      9/2    0.000    0.000    1.969    0.985 compiler.py:303(compile_bytecode)
       20    0.000    0.000    0.000    0.000 typeinfer.py:517(typeof_setitem)
       14    0.000    0.000    0.000    0.000 npyfuncs.py:24(_check_arity_and_homogeneity)
        8    0.000    0.000    0.001    0.000 pythonapi.py:584(call_function_objargs)
        6    0.000    0.000    0.000    0.000 copy.py:66(copy)
       13    0.000    0.000    0.001    0.000 base.py:529(get_returned_value)
       57    0.000    0.000    0.000    0.000 ufunc_db.py:32(get_ufunc_info)
       42    0.000    0.000    0.001    0.000 templates.py:241(resolve)
       35    0.000    0.000    0.000    0.000 core.py:82(struct)
       24    0.000    0.000    0.000    0.000 ffi.py:82(__bool__)
        1    0.000    0.000    0.001    0.001 base.py:890(make_constant_array)
       14    0.000    0.000    0.001    0.000 pickle.py:220(dump)
       28    0.000    0.000    0.003    0.000 cgutils.py:517(_loop_nest)
        2    0.000    0.000    1.983    0.991 dispatcher.py:155(_compile_for_args)
        8    0.000    0.000    0.000    0.000 codegen.py:377(_add_module)
       16    0.000    0.000    0.000    0.000 codegen.py:318(_pass_manager_builder)
       14    0.000    0.000    0.002    0.000 lowering.py:71(return_exception)
       25    0.000    0.000    0.000    0.000 ir.py:172(build_tuple)
        8    0.000    0.000    0.246    0.031 lowering.py:155(create_cpython_wrapper)
      186    0.000    0.000    0.000    0.000 instructions.py:181(rhs)
       16    0.000    0.000    0.001    0.000 transforms.py:76(populate)
        1    0.000    0.000    0.003    0.003 arrayobj.py:278(getitem_array_tuple)
        8    0.000    0.000    0.010    0.001 lowering.py:95(extract_function_arguments)
        9    0.000    0.000    0.000    0.000 tesseroid.py:206(_check_input)
       25    0.000    0.000    0.000    0.000 {method 'flatten' of 'numpy.ndarray' objects}
      159    0.000    0.000    0.000    0.000 values.py:325(alignstack)
       21    0.000    0.000    0.000    0.000 module.py:162(__init__)
       40    0.000    0.000    0.001    0.000 cgutils.py:151(_getvalue)
       14    0.000    0.000    0.000    0.000 controlflow.py:247(_remove_node_edges)
       29    0.000    0.000    0.000    0.000 instructions.py:347(__init__)
       11    0.000    0.000    0.000    0.000 controlflow.py:469(__init__)
        8    0.000    0.000    0.000    0.000 callconv.py:267(return_value)
       16    0.000    0.000    0.000    0.000 passmanagers.py:32(__init__)
      250    0.000    0.000    0.000    0.000 ffi.py:123(_dispose)
       32    0.000    0.000    0.001    0.000 builtins.py:500(real_add_impl)
       28    0.000    0.000    0.003    0.000 cgutils.py:510(loop_nest)
       13    0.000    0.000    0.000    0.000 interpreter.py:906(_inplace_binop)
       40    0.000    0.000    0.000    0.000 pythonapi.py:781(get_null_object)
       16    0.000    0.000    0.000    0.000 funcdesc.py:74(lookup_module)
      135    0.000    0.000    0.000    0.000 common.py:33(_is_shutting_down)
       40    0.000    0.000    0.000    0.000 looplifting.py:74(__add__)
        3    0.000    0.000    0.000    0.000 sre_compile.py:433(_compile_info)
       11    0.000    0.000    0.000    0.000 controlflow.py:372(_find_topo_order)
        8    0.000    0.000    0.001    0.000 interface.py:637(aslinearoperator)
       11    0.000    0.000    0.000    0.000 dataflow.py:505(op_RETURN_VALUE)
       14    0.000    0.000    0.000    0.000 pickle.py:173(__init__)
        7    0.000    0.000    0.000    0.000 inspect.py:804(getargspec)
       50    0.000    0.000    0.001    0.000 _methods.py:25(_amax)
       32    0.000    0.000    0.000    0.000 ffi.py:138(__enter__)
      173    0.000    0.000    0.000    0.000 looplifting.py:239(<genexpr>)
       16    0.000    0.000    0.000    0.000 ffi.py:156(__hash__)
        9    0.000    0.000    0.000    0.000 numeric.py:81(zeros_like)
       97    0.000    0.000    0.000    0.000 controlflow.py:562(jump)
       10    0.000    0.000    0.000    0.000 value.py:94(linkage)
       46    0.000    0.000    0.000    0.000 compiler.py:237(fallback_context)
       42    0.000    0.000    0.000    0.000 cgutils.py:422(__enter__)
      136    0.000    0.000    0.000    0.000 controlflow.py:68(add_node)
       21    0.000    0.000    0.001    0.000 context.py:348(unify_types)
        8    0.000    0.000    0.001    0.000 cpu.py:100(post_lowering)
       16    0.000    0.000    0.000    0.000 inspect.py:472(getmodule)
       71    0.000    0.000    0.000    0.000 types.py:918(__len__)
       28    0.000    0.000    0.001    0.000 models.py:80(load_from_data_pointer)
       16    0.000    0.000    0.000    0.000 dataflow.py:243(op_GET_ITER)
        2    0.000    0.000    0.000    0.000 {open}
       28    0.000    0.000    0.000    0.000 types.py:335(<lambda>)
        8    0.000    0.000    0.021    0.003 utils.py:129(safe_solve)
        1    0.000    0.000    0.001    0.001 looplifting.py:199(make_loop_bytecode)
       53    0.000    0.000    0.000    0.000 types.py:102(__ne__)
       17    0.000    0.000    0.000    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
       14    0.000    0.000    0.001    0.000 base.py:751(call_external_function)
       22    0.000    0.000    0.001    0.000 context.py:112(resolve_module_constants)
       10    0.000    0.000    0.000    0.000 module.py:65(declare_intrinsic)
        7    0.000    0.000    0.000    0.000 bytecode.py:217(__init__)
       51    0.000    0.000    0.000    0.000 inspect.py:51(ismodule)
       16    0.000    0.000    0.000    0.000 ir.py:616(insert_before_terminator)
        8    0.000    0.000    0.001    0.000 pythonapi.py:136(err_set_none)
        8    0.000    0.000    0.001    0.000 funcdesc.py:130(_from_python_function)
        1    0.000    0.000    0.001    0.001 mohoinv.py:236(__init__)
       16    0.000    0.000    0.000    0.000 codegen.py:180(get_function)
       14    0.000    0.000    0.000    0.000 {__import__}
        7    0.000    0.000    0.000    0.000 sre_compile.py:228(_compile_charset)
       10    0.000    0.000    0.001    0.000 pythonapi.py:158(raise_missing_global_error)
        9    0.000    0.000    0.000    0.000 mohoinv.py:443(relief)
       14    0.000    0.000    0.000    0.000 values.py:109(literal_struct)
       10    0.000    0.000    0.001    0.000 objmode.py:399(get_module_dict)
        1    0.000    0.000    0.000    0.000 __init__.py:512(from_function)
        1    0.000    0.000    0.000    0.000 dispatcher.py:22(__init__)
      118    0.000    0.000    0.000    0.000 {_ctypes.sizeof}
      186    0.000    0.000    0.000    0.000 instructions.py:177(lhs)
       24    0.000    0.000    0.000    0.000 type_check.py:237(iscomplexobj)
      200    0.000    0.000    0.000    0.000 interface.py:624(_matvec)
       13    0.000    0.000    0.000    0.000 ir.py:157(inplace_binop)
        8    0.000    0.000    0.000    0.000 {method '_insert' of '_dispatcher.Dispatcher' objects}
       16    0.000    0.000    0.000    0.000 transforms.py:66(slp_vectorize)
       48    0.000    0.000    0.000    0.000 compiler.py:167(add_stage)
       56    0.000    0.000    0.000    0.000 sre_parse.py:206(match)
       15    0.000    0.000    0.000    0.000 builder.py:327(switch)
      178    0.000    0.000    0.000    0.000 types.py:78(post_init)
       28    0.000    0.000    0.000    0.000 numpy_support.py:151(map_layout)
      155    0.000    0.000    0.000    0.000 controlflow.py:369(<genexpr>)
        9    0.000    0.000    0.000    0.000 {numpy.core.multiarray.copyto}
       25    0.000    0.000    0.001    0.000 compressed.py:996(sum_duplicates)
        8    0.000    0.000    0.000    0.000 utils.py:187(safe_diagonal)
       16    0.000    0.000    0.000    0.000 controlflow.py:600(op_FOR_ITER)
        9    0.000    0.000    0.005    0.001 builtins.py:512(real_div_impl)
       42    0.000    0.000    0.000    0.000 cgutils.py:417(__init__)
       15    0.000    0.000    0.001    0.000 interpreter.py:1006(op_COMPARE_OP)
       10    0.000    0.000    0.001    0.000 pythonapi.py:249(number_long)
       11    0.000    0.000    0.001    0.000 builtins.py:17(int_add_impl)
        8    0.000    0.000    0.113    0.014 codegen.py:234(_finalize_specific)
        8    0.000    0.000    0.001    0.000 pythonapi.py:118(raise_object)
       45    0.000    0.000    0.000    0.000 sre_parse.py:149(append)
       23    0.000    0.000    0.000    0.000 base.py:871(make_array)
       50    0.000    0.000    0.000    0.000 _methods.py:28(_amin)
        9    0.000    0.000    0.000    0.000 {numpy.core.multiarray.empty_like}
       47    0.000    0.000    0.000    0.000 pickle.py:250(put)
       24    0.000    0.000    0.003    0.000 imputils.py:169(yield_)
       44    0.000    0.000    0.000    0.000 values.py:442(add_attribute)
       35    0.000    0.000    0.000    0.000 context.py:351(keyfunc)
       87    0.000    0.000    0.000    0.000 ir.py:592(terminator)
       16    0.000    0.000    0.003    0.000 core.py:166(add_function)
        8    0.000    0.000    0.001    0.000 intrinsics.py:9(fix_powi_calls)
       32    0.000    0.000    0.000    0.000 dataflow.py:607(request_outgoing)
       31    0.000    0.000    0.000    0.000 ir.py:348(__init__)
       10    0.000    0.000    0.001    0.000 pythonapi.py:259(long_as_longlong)
       66    0.000    0.000    0.000    0.000 types.py:311(key)
       19    0.000    0.000    0.000    0.000 controlflow.py:592(op_SETUP_LOOP)
       10    0.000    0.000    0.000    0.000 value.py:90(linkage)
       15    0.000    0.000    0.000    0.000 dataflow.py:474(op_POP_JUMP_IF_FALSE)
       32    0.000    0.000    0.000    0.000 typeinfer.py:252(__init__)
       10    0.000    0.000    0.000    0.000 value.py:82(name)
       33    0.000    0.000    0.000    0.000 base.py:960(__getattr__)
       68    0.000    0.000    0.000    0.000 callconv.py:359(_get_excinfo_argument)
       21    0.000    0.000    0.002    0.000 looplifting.py:187(insert_instruction)
       11    0.000    0.000    0.000    0.000 core.py:135(array)
       42    0.000    0.000    0.001    0.000 interpreter.py:912(op_BINARY_ADD)
       31    0.000    0.000    0.000    0.000 types.py:376(overloaded)
       21    0.000    0.000    0.000    0.000 dispatcher.py:148(is_compiling)
       21    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        9    0.000    0.000    0.000    0.000 __init__.py:237(__init__)
        1    0.000    0.000    0.000    0.000 base.py:399(config)
        3    0.000    0.000    0.000    0.000 dataflow.py:82(dup_topx)
      236    0.000    0.000    0.000    0.000 __init__.py:270(default)
        7    0.000    0.000    0.000    0.000 options.py:23(parse_as_flags)
       56    0.000    0.000    0.000    0.000 string.py:222(lower)
        8    0.000    0.000    0.087    0.011 codegen.py:78(_optimize_final_module)
        8    0.000    0.000    0.002    0.000 models.py:692(__init__)
        7    0.000    0.000    0.011    0.002 tokenize.py:156(tokenize)
       97    0.000    0.000    0.000    0.000 interpreter.py:443(code_consts)
        3    0.000    0.000    0.001    0.000 sre_parse.py:706(parse)
       12    0.000    0.000    0.012    0.001 imputils.py:130(iternext_wrapper)
        3    0.000    0.000    0.002    0.001 sre_compile.py:567(compile)
       68    0.000    0.000    0.000    0.000 core.py:70(double)
        5    0.000    0.000    0.000    0.000 numerictypes.py:736(issubdtype)
       22    0.000    0.000    0.000    0.000 core.py:123(undef)
       28    0.000    0.000    0.000    0.000 sigutils.py:10(normalize_signature)
        5    0.000    0.000    0.005    0.001 arrayobj.py:333(setitem_array1d)
        7    0.000    0.000    1.554    0.222 compiler.py:553(compile_extra)
       60    0.000    0.000    0.000    0.000 looplifting.py:63(__init__)
        3    0.000    0.000    0.000    0.000 castgraph.py:103(propagate)
       64    0.000    0.000    0.000    0.000 {bin}
       15    0.000    0.000    0.000    0.000 controlflow.py:605(_op_ABSOLUTE_JUMP_IF)
       39    0.000    0.000    0.000    0.000 looplifting.py:107(__repr__)
       42    0.000    0.000    0.001    0.000 cgutils.py:425(__exit__)
       11    0.000    0.000    0.002    0.000 controlflow.py:335(_find_dominators)
       16    0.000    0.000    0.000    0.000 ir.py:207(iternext)
        5    0.000    0.000    0.000    0.000 dispatcher.py:144(get_overload)
       14    0.000    0.000    0.000    0.000 base.py:541(get_value_as_argument)
       24    0.000    0.000    0.000    0.000 bytecode.py:180(get)
       22    0.000    0.000    0.000    0.000 ir.py:259(__init__)
        7    0.000    0.000    0.001    0.000 npyfuncs.py:949(np_real_cos_impl)
        1    0.000    0.000    0.002    0.002 objmode.py:47(pre_lower)
       32    0.000    0.000    0.000    0.000 ffi.py:144(__exit__)
        8    0.000    0.000    0.000    0.000 funcdesc.py:92(llvm_cpython_wrapper_name)
       14    0.000    0.000    0.000    0.000 genericpath.py:23(exists)
       14    0.000    0.000    0.000    0.000 {imp.get_suffixes}
       21    0.000    0.000    0.209    0.010 codegen.py:60(_ensure_finalized)
       16    0.000    0.000    0.000    0.000 ir.py:202(getiter)
       42    0.000    0.000    0.000    0.000 compressed.py:1028(__set_sorted)
        8    0.000    0.000    0.000    0.000 {numba._dynfunc.make_function}
       28    0.000    0.000    0.000    0.000 inspect.py:59(isclass)
       18    0.000    0.000    0.000    0.000 builder.py:59(__init__)
       10    0.000    0.000    0.001    0.000 pythonapi.py:188(dict_getitem)
       16    0.000    0.000    0.000    0.000 ir.py:197(pair_second)
       16    0.000    0.000    0.000    0.000 ir.py:192(pair_first)
       96    0.000    0.000    0.000    0.000 {abs}
        3    0.000    0.000    0.000    0.000 {_warnings.warn_explicit}
        1    0.000    0.000    0.000    0.000 base.py:374(__init__)
        3    0.000    0.000    0.000    0.000 interpreter.py:782(op_LOAD_DEREF)
       21    0.000    0.000    0.000    0.000 core.py:111(real)
        7    0.000    0.000    0.000    0.000 options.py:13(from_dict)
        6    0.000    0.000    0.000    0.000 numerictypes.py:949(_can_coerce_all)
       19    0.000    0.000    0.000    0.000 dataflow.py:519(op_POP_BLOCK)
       58    0.000    0.000    0.000    0.000 dataflow.py:638(terminator)
       19    0.000    0.000    0.000    0.000 looplifting.py:68(next)
       21    0.000    0.000    0.000    0.000 utils.py:168(is_owned)
       32    0.000    0.000    0.006    0.000 models.py:390(as_argument)
        7    0.000    0.000    0.000    0.000 compiler.py:600(legalize_return_type)
       31    0.000    0.000    0.000    0.000 types.py:351(_get_object)
        7    0.000    0.000    0.000    0.000 pythonapi.py:648(object_getattr)
       24    0.000    0.000    0.000    0.000 sre_parse.py:92(__init__)
       56    0.000    0.000    0.000    0.000 macro.py:63(<genexpr>)
       16    0.000    0.000    0.000    0.000 core.py:198(new)
       23    0.000    0.000    0.000    0.000 {method 'acquire' of 'thread.lock' objects}
      128    0.000    0.000    0.000    0.000 types.py:334(key)
      135    0.000    0.000    0.000    0.000 ffi.py:63(__enter__)
        8    0.000    0.000    0.021    0.003 <string>:1(cgs)
       12    0.000    0.000    0.000    0.000 builder.py:185(neg)
       11    0.000    0.000    0.000    0.000 ir.py:212(exhaust_iter)
        6    0.000    0.000    0.000    0.000 pythonapi.py:237(float_from_double)
       19    0.000    0.000    0.000    0.000 interpreter.py:998(op_POP_BLOCK)
        7    0.000    0.000    1.554    0.222 compiler.py:292(compile_extra)
      196    0.000    0.000    0.000    0.000 models.py:160(from_argument)
       22    0.000    0.000    0.005    0.000 models.py:393(from_argument)
